,Vision Backbone,Scene Description,Method,Number of Updates,Accuracy
149,ViT-B/32,Basic,joint,21,0.7554858934169278
150,ViT-B/32,Basic,audio,22,0.7804878048780488
151,ViT-B/32,Basic,visual,22,0.7424242424242424
152,ViT-B/32,Basic,joint,22,0.7611464968152867
153,ViT-B/32,Basic,audio,23,0.7835365853658537
154,ViT-B/32,Basic,visual,23,0.7393939393939394
155,ViT-B/32,Basic,joint,23,0.7674418604651163
156,ViT-B/32,Basic,audio,24,0.7774390243902439
157,ViT-B/32,Basic,visual,24,0.7121212121212122
158,ViT-B/32,Basic,joint,24,0.7719298245614035
159,ViT-B/32,Basic,audio,25,0.7804878048780488
160,ViT-B/32,Basic,visual,25,0.7181818181818181
161,ViT-B/32,Basic,joint,25,0.7814814814814814
162,ViT-B/32,Basic,audio,26,0.7774390243902439
163,ViT-B/32,Basic,visual,26,0.7515151515151515
164,ViT-B/32,Basic,joint,26,0.8025751072961373
165,ViT-B/32,Basic,audio,27,0.7774390243902439
166,ViT-B/32,Basic,visual,27,0.7242424242424242
167,ViT-B/32,Basic,joint,27,0.8022598870056498
168,ViT-B/32,Basic,audio,28,0.7865853658536586
169,ViT-B/32,Basic,visual,28,0.7303030303030303
170,ViT-B/32,Basic,joint,28,0.7936507936507936
171,ViT-B/32,Basic,audio,29,0.7896341463414634
172,ViT-B/32,Basic,visual,29,0.7303030303030303
173,ViT-B/32,Basic,joint,29,0.6363636363636364
174,ResNet50,Detailed,audio,1,0.7073170731707317
175,ResNet50,Detailed,visual,1,0.6787878787878788
176,ResNet50,Detailed,joint,1,0.7416413373860182
177,ResNet50,Detailed,audio,2,0.7164634146341463
178,ResNet50,Detailed,visual,2,0.7242424242424242
179,ResNet50,Detailed,joint,2,0.801829268292683
180,ResNet50,Detailed,audio,3,0.7042682926829268
181,ResNet50,Detailed,visual,3,0.7545454545454545
182,ResNet50,Detailed,joint,3,0.8323170731707317
183,ResNet50,Detailed,audio,4,0.7164634146341463
184,ResNet50,Detailed,visual,4,0.7090909090909091
185,ResNet50,Detailed,joint,4,0.8353658536585366
186,ResNet50,Detailed,audio,5,0.7195121951219512
187,ResNet50,Detailed,visual,5,0.7242424242424242
188,ResNet50,Detailed,joint,5,0.8292682926829268
189,ResNet50,Detailed,audio,6,0.7378048780487805
190,ResNet50,Detailed,visual,6,0.7424242424242424
191,ResNet50,Detailed,joint,6,0.850609756097561
192,ResNet50,Detailed,audio,7,0.7621951219512195
193,ResNet50,Detailed,visual,7,0.7
194,ResNet50,Detailed,joint,7,0.8292682926829268
195,ResNet50,Detailed,audio,8,0.7621951219512195
196,ResNet50,Detailed,visual,8,0.7454545454545455
197,ResNet50,Detailed,joint,8,0.8445121951219512
198,ResNet50,Detailed,audio,9,0.7682926829268293
199,ResNet50,Detailed,visual,9,0.7575757575757576
200,ResNet50,Detailed,joint,9,0.8440366972477065
201,ResNet50,Detailed,audio,10,0.7987804878048781
202,ResNet50,Detailed,visual,10,0.7272727272727273
203,ResNet50,Detailed,joint,10,0.8501529051987767
204,ResNet50,Detailed,audio,11,0.801829268292683
205,ResNet50,Detailed,visual,11,0.7545454545454545
206,ResNet50,Detailed,joint,11,0.8466257668711656
207,ResNet50,Detailed,audio,12,0.8079268292682927
208,ResNet50,Detailed,visual,12,0.7121212121212122
209,ResNet50,Detailed,joint,12,0.8492307692307692
210,ResNet50,Detailed,audio,13,0.823170731707317
211,ResNet50,Detailed,visual,13,0.7151515151515152
212,ResNet50,Detailed,joint,13,0.8492307692307692
213,ResNet50,Detailed,audio,14,0.8323170731707317
214,ResNet50,Detailed,visual,14,0.7363636363636363
215,ResNet50,Detailed,joint,14,0.8518518518518519
216,ResNet50,Detailed,audio,15,0.823170731707317
217,ResNet50,Detailed,visual,15,0.7424242424242424
218,ResNet50,Detailed,joint,15,0.8452012383900929
219,ResNet50,Detailed,audio,16,0.8292682926829268
220,ResNet50,Detailed,visual,16,0.7090909090909091
221,ResNet50,Detailed,joint,16,0.8421052631578947
222,ResNet50,Detailed,audio,17,0.8323170731707317
223,ResNet50,Detailed,visual,17,0.7272727272727273
224,ResNet50,Detailed,joint,17,0.8452012383900929
225,ResNet50,Detailed,audio,18,0.8292682926829268
226,ResNet50,Detailed,visual,18,0.7696969696969697
227,ResNet50,Detailed,joint,18,0.8421052631578947
228,ResNet50,Detailed,audio,19,0.8201219512195121
229,ResNet50,Detailed,visual,19,0.7272727272727273
230,ResNet50,Detailed,joint,19,0.84472049689441
231,ResNet50,Detailed,audio,20,0.8109756097560976
232,ResNet50,Detailed,visual,20,0.7484848484848485
233,ResNet50,Detailed,joint,20,0.85
234,ResNet50,Detailed,audio,21,0.8109756097560976
235,ResNet50,Detailed,visual,21,0.7363636363636363
236,ResNet50,Detailed,joint,21,0.8391167192429022
237,ResNet50,Detailed,audio,22,0.7926829268292683
238,ResNet50,Detailed,visual,22,0.7151515151515152
239,ResNet50,Detailed,joint,22,0.8349514563106796
240,ResNet50,Detailed,audio,23,0.7957317073170732
241,ResNet50,Detailed,visual,23,0.7363636363636363
242,ResNet50,Detailed,joint,23,0.8344370860927153
243,ResNet50,Detailed,audio,24,0.7957317073170732
244,ResNet50,Detailed,visual,24,0.7515151515151515
245,ResNet50,Detailed,joint,24,0.851063829787234
246,ResNet50,Detailed,audio,25,0.7987804878048781
247,ResNet50,Detailed,visual,25,0.706060606060606
248,ResNet50,Detailed,joint,25,0.8560311284046692
249,ResNet50,Detailed,audio,26,0.801829268292683
250,ResNet50,Detailed,visual,26,0.7515151515151515
251,ResNet50,Detailed,joint,26,0.8669527896995708
252,ResNet50,Detailed,audio,27,0.8048780487804879
253,ResNet50,Detailed,visual,27,0.7424242424242424
254,ResNet50,Detailed,joint,27,0.8947368421052632
255,ResNet50,Detailed,audio,28,0.8079268292682927
256,ResNet50,Detailed,visual,28,0.693939393939394
257,ResNet50,Detailed,joint,28,0.9622641509433962
258,ResNet50,Detailed,audio,29,0.8079268292682927
259,ResNet50,Detailed,visual,29,0.7515151515151515
260,ResNet50,Detailed,joint,29,0.9090909090909091
261,ResNet50,Basic,audio,1,0.7164634146341463
262,ResNet50,Basic,visual,1,0.7272727272727273
263,ResNet50,Basic,joint,1,0.7379518072289156
264,ResNet50,Basic,audio,2,0.7195121951219512
265,ResNet50,Basic,visual,2,0.7272727272727273
266,ResNet50,Basic,joint,2,0.801829268292683
267,ResNet50,Basic,audio,3,0.725609756097561
268,ResNet50,Basic,visual,3,0.7272727272727273
269,ResNet50,Basic,joint,3,0.8292682926829268
270,ResNet50,Basic,audio,4,0.725609756097561
271,ResNet50,Basic,visual,4,0.7272727272727273
272,ResNet50,Basic,joint,4,0.8475609756097561
273,ResNet50,Basic,audio,5,0.725609756097561
274,ResNet50,Basic,visual,5,0.7272727272727273
275,ResNet50,Basic,joint,5,0.8414634146341463
276,ResNet50,Basic,audio,6,0.7317073170731707
277,ResNet50,Basic,visual,6,0.7272727272727273
278,ResNet50,Basic,joint,6,0.8475609756097561
279,ResNet50,Basic,audio,7,0.7652439024390244
280,ResNet50,Basic,visual,7,0.7303030303030303
281,ResNet50,Basic,joint,7,0.8445121951219512
282,ResNet50,Basic,audio,8,0.7591463414634146
283,ResNet50,Basic,visual,8,0.7303030303030303
284,ResNet50,Basic,joint,8,0.8597560975609756
285,ResNet50,Basic,audio,9,0.7591463414634146
286,ResNet50,Basic,visual,9,0.7303030303030303
287,ResNet50,Basic,joint,9,0.875
288,ResNet50,Basic,audio,10,0.7774390243902439
289,ResNet50,Basic,visual,10,0.7393939393939394
290,ResNet50,Basic,joint,10,0.8776758409785933
291,ResNet50,Basic,audio,11,0.7865853658536586
292,ResNet50,Basic,visual,11,0.7393939393939394
293,ResNet50,Basic,joint,11,0.8926380368098159
294,ResNet50,Basic,audio,12,0.7865853658536586
295,ResNet50,Basic,visual,12,0.7393939393939394
296,ResNet50,Basic,joint,12,0.8834355828220859
297,ResNet50,Basic,audio,13,0.7896341463414634
298,ResNet50,Basic,visual,13,0.7393939393939394
299,ResNet50,Basic,joint,13,0.8803680981595092
300,ResNet50,Basic,audio,14,0.7804878048780488
301,ResNet50,Basic,visual,14,0.7393939393939394
302,ResNet50,Basic,joint,14,0.8796296296296297
303,ResNet50,Basic,audio,15,0.7865853658536586
304,ResNet50,Basic,visual,15,0.7393939393939394
305,ResNet50,Basic,joint,15,0.8827160493827161
306,ResNet50,Basic,audio,16,0.774390243902439
307,ResNet50,Basic,visual,16,0.7424242424242424
308,ResNet50,Basic,joint,16,0.8699690402476781
309,ResNet50,Basic,audio,17,0.7682926829268293
310,ResNet50,Basic,visual,17,0.7424242424242424
311,ResNet50,Basic,joint,17,0.8664596273291926
312,ResNet50,Basic,audio,18,0.7652439024390244
313,ResNet50,Basic,visual,18,0.7424242424242424
314,ResNet50,Basic,joint,18,0.8788819875776398
315,ResNet50,Basic,audio,19,0.7896341463414634
316,ResNet50,Basic,visual,19,0.7393939393939394
317,ResNet50,Basic,joint,19,0.8850931677018633
318,ResNet50,Basic,audio,20,0.7896341463414634
319,ResNet50,Basic,visual,20,0.7393939393939394
320,ResNet50,Basic,joint,20,0.884375
321,ResNet50,Basic,audio,21,0.7896341463414634
322,ResNet50,Basic,visual,21,0.7393939393939394
323,ResNet50,Basic,joint,21,0.8773584905660378
324,ResNet50,Basic,audio,22,0.7865853658536586
325,ResNet50,Basic,visual,22,0.7424242424242424
326,ResNet50,Basic,joint,22,0.887459807073955
327,ResNet50,Basic,audio,23,0.7865853658536586
328,ResNet50,Basic,visual,23,0.7424242424242424
329,ResNet50,Basic,joint,23,0.8811881188118812
330,ResNet50,Basic,audio,24,0.7896341463414634
331,ResNet50,Basic,visual,24,0.7424242424242424
332,ResNet50,Basic,joint,24,0.8825622775800712
333,ResNet50,Basic,audio,25,0.7865853658536586
334,ResNet50,Basic,visual,25,0.7393939393939394
335,ResNet50,Basic,joint,25,0.8798449612403101
336,ResNet50,Basic,audio,26,0.7865853658536586
337,ResNet50,Basic,visual,26,0.7393939393939394
338,ResNet50,Basic,joint,26,0.902127659574468
339,ResNet50,Basic,audio,27,0.7865853658536586
340,ResNet50,Basic,visual,27,0.7393939393939394
341,ResNet50,Basic,joint,27,0.9060773480662984
342,ResNet50,Basic,audio,28,0.7926829268292683
343,ResNet50,Basic,visual,28,0.7393939393939394
344,ResNet50,Basic,joint,28,0.9672131147540983
345,ResNet50,Basic,audio,29,0.7926829268292683
346,ResNet50,Basic,visual,29,0.7393939393939394
347,ResNet50,Basic,joint,29,0.8181818181818182
348,ViT-L/14,Detailed,audio,1,0.7073170731707317
349,ViT-L/14,Detailed,visual,1,0.703030303030303
350,ViT-L/14,Detailed,joint,1,0.7228915662650602
351,ViT-L/14,Detailed,audio,2,0.7103658536585366
352,ViT-L/14,Detailed,visual,2,0.7212121212121212
353,ViT-L/14,Detailed,joint,2,0.7378048780487805
354,ViT-L/14,Detailed,audio,3,0.7134146341463414
355,ViT-L/14,Detailed,visual,3,0.7333333333333333
356,ViT-L/14,Detailed,joint,3,0.7439024390243902
357,ViT-L/14,Detailed,audio,4,0.7408536585365854
358,ViT-L/14,Detailed,visual,4,0.703030303030303
359,ViT-L/14,Detailed,joint,4,0.7408536585365854
360,ViT-L/14,Detailed,audio,5,0.7408536585365854
361,ViT-L/14,Detailed,visual,5,0.7545454545454545
362,ViT-L/14,Detailed,joint,5,0.7439024390243902
363,ViT-L/14,Detailed,audio,6,0.7439024390243902
364,ViT-L/14,Detailed,visual,6,0.7151515151515152
365,ViT-L/14,Detailed,joint,6,0.7408536585365854
366,ViT-L/14,Detailed,audio,7,0.7469512195121951
367,ViT-L/14,Detailed,visual,7,0.7212121212121212
368,ViT-L/14,Detailed,joint,7,0.7408536585365854
369,ViT-L/14,Detailed,audio,8,0.7530487804878049
370,ViT-L/14,Detailed,visual,8,0.7575757575757576
371,ViT-L/14,Detailed,joint,8,0.7408536585365854
372,ViT-L/14,Detailed,audio,9,0.7560975609756098
373,ViT-L/14,Detailed,visual,9,0.7272727272727273
374,ViT-L/14,Detailed,joint,9,0.7408536585365854
375,ViT-L/14,Detailed,audio,10,0.7865853658536586
376,ViT-L/14,Detailed,visual,10,0.7606060606060606
377,ViT-L/14,Detailed,joint,10,0.7400611620795107
378,ViT-L/14,Detailed,audio,11,0.7865853658536586
379,ViT-L/14,Detailed,visual,11,0.7090909090909091
380,ViT-L/14,Detailed,joint,11,0.7370030581039755
381,ViT-L/14,Detailed,audio,12,0.7896341463414634
382,ViT-L/14,Detailed,visual,12,0.7303030303030303
383,ViT-L/14,Detailed,joint,12,0.7370030581039755
384,ViT-L/14,Detailed,audio,13,0.801829268292683
385,ViT-L/14,Detailed,visual,13,0.703030303030303
386,ViT-L/14,Detailed,joint,13,0.7384615384615385
387,ViT-L/14,Detailed,audio,14,0.801829268292683
388,ViT-L/14,Detailed,visual,14,0.7696969696969697
389,ViT-L/14,Detailed,joint,14,0.7384615384615385
390,ViT-L/14,Detailed,audio,15,0.801829268292683
391,ViT-L/14,Detailed,visual,15,0.7272727272727273
392,ViT-L/14,Detailed,joint,15,0.7368421052631579
393,ViT-L/14,Detailed,audio,16,0.801829268292683
394,ViT-L/14,Detailed,visual,16,0.7363636363636363
395,ViT-L/14,Detailed,joint,16,0.739938080495356
396,ViT-L/14,Detailed,audio,17,0.801829268292683
397,ViT-L/14,Detailed,visual,17,0.7393939393939394
398,ViT-L/14,Detailed,joint,17,0.739938080495356
399,ViT-L/14,Detailed,audio,18,0.801829268292683
400,ViT-L/14,Detailed,visual,18,0.7212121212121212
401,ViT-L/14,Detailed,joint,18,0.739938080495356
402,ViT-L/14,Detailed,audio,19,0.7987804878048781
403,ViT-L/14,Detailed,visual,19,0.7303030303030303
404,ViT-L/14,Detailed,joint,19,0.739938080495356
405,ViT-L/14,Detailed,audio,20,0.7987804878048781
406,ViT-L/14,Detailed,visual,20,0.7333333333333333
407,ViT-L/14,Detailed,joint,20,0.74375
408,ViT-L/14,Detailed,audio,21,0.7987804878048781
409,ViT-L/14,Detailed,visual,21,0.7303030303030303
410,ViT-L/14,Detailed,joint,21,0.7452830188679245
411,ViT-L/14,Detailed,audio,22,0.8048780487804879
412,ViT-L/14,Detailed,visual,22,0.7424242424242424
413,ViT-L/14,Detailed,joint,22,0.7468354430379747
414,ViT-L/14,Detailed,audio,23,0.8048780487804879
415,ViT-L/14,Detailed,visual,23,0.706060606060606
416,ViT-L/14,Detailed,joint,23,0.7516339869281046
417,ViT-L/14,Detailed,audio,24,0.8048780487804879
418,ViT-L/14,Detailed,visual,24,0.7454545454545455
419,ViT-L/14,Detailed,joint,24,0.7655172413793103
420,ViT-L/14,Detailed,audio,25,0.7804878048780488
421,ViT-L/14,Detailed,visual,25,0.7212121212121212
422,ViT-L/14,Detailed,joint,25,0.7692307692307693
423,ViT-L/14,Detailed,audio,26,0.7774390243902439
424,ViT-L/14,Detailed,visual,26,0.7393939393939394
425,ViT-L/14,Detailed,joint,26,0.7732793522267206
426,ViT-L/14,Detailed,audio,27,0.7804878048780488
427,ViT-L/14,Detailed,visual,27,0.7242424242424242
428,ViT-L/14,Detailed,joint,27,0.7894736842105263
429,ViT-L/14,Detailed,audio,28,0.8048780487804879
430,ViT-L/14,Detailed,visual,28,0.7454545454545455
431,ViT-L/14,Detailed,joint,28,0.8230088495575221
