,config,scene,role,cmd_mode,cmd,role rec method,cmd rec method,stamp,object id,object class,estimated role,estimated command
64,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,rally,artag,verbal,1720996548.5096116,0,person,supervisor,rally
65,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,rally,artag,verbal,1720996549.542949,1,person,supervisor,none
66,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,rally,artag,verbal,1720996550.4429488,1,person,supervisor,none
67,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,rally,artag,verbal,1720996551.5097938,1,person,supervisor,none
68,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,rally,artag,verbal,1720996552.5097911,1,person,supervisor,none
69,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,rally,artag,verbal,1720996553.4764576,1,person,supervisor,none
70,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,rally,artag,verbal,1720996554.4764674,1,person,supervisor,none
71,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,rally,artag,verbal,1720996555.5097833,1,person,supervisor,none
72,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,rally,artag,verbal,1720996556.4097915,1,person,supervisor,none
73,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,rally,artag,verbal,1720996557.5097868,1,person,supervisor,none
74,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,rally,artag,verbal,1720996558.4764748,1,person,supervisor,none
75,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,rally,artag,verbal,1720996559.4765918,1,person,supervisor,none
76,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,rally,artag,verbal,1720996560.5099294,1,person,supervisor,none
77,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,rally,artag,verbal,1720996561.543246,3,person,pedestrian,none
78,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,rally,artag,verbal,1720996562.5098734,3,person,supervisor,none
79,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,rally,artag,verbal,1720996563.5765786,3,person,supervisor,none
80,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,rally,artag,verbal,1720996564.509909,3,person,supervisor,none
81,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,rally,artag,verbal,1720996565.476574,3,person,supervisor,none
82,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,rally,artag,verbal,1720996566.376569,3,person,supervisor,none
83,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,rally,artag,verbal,1720996567.54325,3,person,supervisor,none
84,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,rally,artag,verbal,1720996568.476684,3,person,supervisor,none
85,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,rally,artag,verbal,1720996569.4767008,3,person,supervisor,none
86,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,rally,artag,verbal,1720996570.443359,3,person,supervisor,none
87,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,rally,artag,verbal,1720996571.4433541,3,person,supervisor,none
88,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,rally,artag,verbal,1720996572.4100196,3,person,supervisor,rally
89,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,rally,artag,verbal,1720996573.4767132,3,person,supervisor,none
90,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,rally,artag,verbal,1720996574.510026,3,person,supervisor,none
91,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,halt,artag,verbal,1720996574.510026,3,person,supervisor,none
92,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,halt,artag,verbal,1720996574.510026,3,person,supervisor,none
93,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,halt,artag,verbal,1720996442.27439,0,person,supervisor,none
94,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,halt,artag,verbal,1720996443.2411938,0,person,supervisor,none
95,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,halt,artag,verbal,1720996444.2078662,0,person,supervisor,none
96,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,halt,artag,verbal,1720996445.2078617,0,person,supervisor,none
97,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,halt,artag,verbal,1720996446.3411992,0,person,supervisor,none
98,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,halt,artag,verbal,1720996447.3078594,0,person,supervisor,none
99,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,halt,artag,verbal,1720996448.1745234,0,person,supervisor,none
100,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,halt,artag,verbal,1720996449.274555,0,person,supervisor,none
101,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,halt,artag,verbal,1720996450.2745357,0,person,supervisor,none
102,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,halt,artag,verbal,1720996451.207988,0,person,supervisor,none
103,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,halt,artag,verbal,1720996452.2747085,0,person,supervisor,none
104,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,halt,artag,verbal,1720996453.2746663,3,person,pedestrian,none
105,config/exp3_cmd_cfgs/ar_role_verbal_music_best_overall_cmd.yaml,lab,supervisor,gest_verb,halt,artag,verbal,1720996454.241285,0,person,supervisor,none
